a,b,c,d
B04,-,-,-
F03,-,-,-
H04,-,-,-
C03,35  45,YE,HG
C11,35  45,YE,HG
D02,38  75,LA,WG
F01,35  50,YA,SR
H09,56  75,KA,YC
H12,31  52,QI,RN
F06,26,F,A
C02,31,Q,C
D08,31,Q,E
D12,31,Q,E
H03,31,Q,E
H06,31,Q,E
A02,31,Q,F
D06,31,Q,F
E11,31,Q,F
D10,31,Q,G
F12,31,Q,G
G02,31,Q,H
A03,31,Q,L
G05,31,Q,L
A08,31,Q,R
D07,31,Q,T
E03,31,Q,T
G12,31,Q,T
B05,31,Q,V
D11,31,Q,V
A12,31,Q,W
H08,31,Q,W
C08,31,Q,Y
E12,32,N,P
F10,34,F,C
F08,34,F,D
F09,34,F,D
A06,34,F,E
G06,34,F,E
E01,34,F,H
F04,34,F,H
E09,34,F,I
G04,34,F,N
H02,34,F,P
H11,34,F,P
A09,34,F,Q
E10,34,F,Q
B10,34,F,S
D03,34,F,S
